1,"Afghanistan","North & Central America & Carribean","Federal Republic",31822848
2,"Albania","Europe","Republic",3020209
3,"Algeria","Africa","Republic",38813722
4,"Andorra","Europe","Principality",85458
5,"Angola","Africa","Republic",19088106
6,"Antigua & Barbuda","North & Central America & Carribean","Constiutional Monarchy",91295
7,"Argentina","South America","Republic",43024374
8,"Armenia","Asia","Republic",3060631
9,"Australia","Oceania","Commonwealth",22507617
10,"Austria","Europe","Federal Republic",8223062
11,"Azerbaijan","Europe","Republic",9686210
12,"Bahamas, The","North & Central America & Carribean","Commonwealth",321834
13,"Bahrain","Middle East","Consitutional Monarchy",1314089
14,"Bangladesh","Asia","Republic",166280712
15,"Barbados","North & Central America & Carribean","Commonwealth",289680
16,"Belarus","Europe","Republic",9608058
17,"Belgium","Europe","Constitutional Monarchy",10449361
18,"Belize","North & Central America & Carribean","Commonwealth",340844
19,"Benin","Africa","Republic",10160556
20,"Bhutan","Asia","Constitutional Monarchy",733643
21,"Bolivia","South America","Republic",10631486
22,"Bosnia and Herzegovina","Europe","Republic",3871643
23,"Bostwana","Africa","Republic",2155784
24,"Brazil","South America","Republic",202656788
25,"Brunei","Middle East","Constitutional Sultanate",422675
26,"Bulgaria","Europe","Republic",6924716
27,"Burkina Faso","Africa","Republic",18365123
28,"Burma","Asia","Republic",55746253
29,"Burundi","Africa","Republic",10395931
30,"Cambodia","Asia","Constitutional Monarchy",15458332
31,"Cameroon","Africa","Republic",23130708
32,"Canada","North & Central America & Carribean","Commonwealth",34834841
33,"Central African Republic","Africa","Republic",5277959
34,"Chad","Africa","Republic",11412107
35,"Chile","South America","Republic",17363894
36,"China","Asia","Communist",1368090000
37,"Columbia","South America","Republic",45644023
38,"Comoros","Africa","Republic",732438
39,"Congo, Democratic Republic of","Africa","Republic",68692542
40,"Congo, Republic of","Africa","Republic",4012809
41,"Costa Rica","North & Central America & Carribean","Republic",4253877
42,"Cote D'Ivoire (Ivory Coast)","Africa","Republic",20617068
43,"Croatia","Europe","Republic",4489409
44,"Cuba","North & Central America & Carribean","Communist",11451652
45,"Cyprus","Europe","Republic",796740
46,"Czech Republic","Europe","Republic",10211904
47,"Denmark","Europe","Constitutional Monarchy",5500510
48,"Djibouti","Africa","Republic",516055
49,"Dominican Republic","North & Central America & Carribean","Republic",9650054
50,"Ecuador","South America","Republic",14573101
51,"Egypt","Africa","Republic",83082869
52,"El Salvador","North & Central America & Carribean","Republic",7185218
53,"Equatorial Guinea","Africa","Republic",633441
54,"Eritrea","Africa","Republic",5647168
55,"Estonia","Europe","Republic",1299371
56,"Ethiopia","Africa","Republic",85237338
57,"European Union","Europe","Diverse",491582852
58,"Fiji","Oceania","Republic",944720
59,"Finland","Europe","Republic",5250275
60,"France","Europe","Republic",64057792
61,"Gabon","Africa","Republic",1514993
62,"Gambia, The","Africa","Republic",1782893
63,"Georgia","Asia","Republic",4615807
64,"Germany","Europe","Federal Republic",82329758
65,"Ghana","Africa","Republic",23832495
66,"Greece","Europe","Republic",10737428
67,"Guatemala","North & Central America & Carribean","Republic",13276517
68,"Guinea","Africa","Republic",10057975
69,"Guinea-Bissau","Africa","Republic",1533964
70,"Guyana","South America","Republic",772298
71,"Haiti","North & Central America & Carribean","Republic",9035536
72,"Honduras","North & Central America & Carribean","Republic",7792853
73,"Hong Kong","Asia","Special Administrative Region",7055071
74,"Hungary","Europe","Republic",9905596
75,"Iceland","Europe","Republic",306694
76,"India","Asia","Republic",1166079217
77,"Indonesia","Asia","Republic",240271522
78,"Iran","Middle East","Islamic Republic",66429284
79,"Iraq","Middle East","Republic",28945657
80,"Ireland","Europe","Republic",4203200
81,"Israel","Middle East","Parlimentary Democracy",7233701
82,"Italy","Europe","Republic",58126212
83,"Jamaica","North & Central America & Carribean","Republic",2825928
84,"Japan","Asia","Constitutional Monarchy",127078679
85,"Jordan","Middle East","Constituional Monarchy",6342948
86,"Kazakhstan","Asia","Republic",15399437
87,"Kenya","Africa","Republic",39002722
88,"Kiribati","Oceania","Republic",112850
89,"Korea, North","Asia","Communist",22665345
90,"Korea, South","Asia","Republic",48508972
91,"Kosovo","Europe","Republic",1804838
92,"Kyrgyzstan","Asia","Republic",5431747
93,"Laos","Asia","Communist",6834942
94,"Lativa","Europe","Republic",2231503
95,"Lebanon","Middle East","Republic",4017095
96,"Lesotho","Africa","Constitutional Monarchy",2130819
97,"Libya","Africa","Jamahiriya",6310434
98,"Liberia","Africa","Republic",3441790
99,"Liechtenstein","Europe","Constitutional Monarchy",34761
100,"Lithuania","Europe","Republic",3555179
101,"Luxembourg","Europe","Constitutional Monarchy",491775
102,"Macau","Asia","Special Administrative Region",559846
103,"Macedonia","Europe","Republic",2066718
104,"Madagascar","Africa","Republic",20653556
105,"Malawi","Africa","Republic",14268711
106,"Malaysia","Asia","Constitutional Monarchy",25715819
107,"Maldives","Asia","Republic",396334
108,"Mali","Africa","Republic",12666987
109,"Malta","Europe","Republic",405165
110,"Mauritania","Africa","Republic",3129486
111,"Mauritius","Africa","Republic",1284264
112,"Mexico","North & Central America & Carribean","Republic",111211789
113,"Micronesia","Oceania","Federation",107434
114,"Moldova","Europe","Republic",3320748
115,"Monaco","Europe","Principality",32965
116,"Mongolia","Asia","Parlimentary Democracy",3041142
117,"Montenegro","Europe","Republic",672180
118,"Morocco","Africa","Constitutional Monarchy",34859364
119,"Mozambique","Africa","Republic",21669278
120,"Namibia","Africa","Republic",2108665
121,"Nauru","Oceania","Republic",14019
122,"Nepal","Asia","Federal Republic",28563377
123,"Netherlands, The","Europe","Consitutional Monarchy",16715999
124,"New Zealand","Oceania","Commonwealth",4213418
125,"Nicaragua","North & Central America & Carribean","Republic",5891199
126,"Niger","Africa","Republic",15306252
127,"Nigeria","Africa","Republic",149229090
128,"Norway","Europe","Constitutional Monarchy",4660539
129,"Oman","Middle East","Absolute Monarchy",3418085
130,"Pakistan","Asia","Federal Republic",176242949
131,"Panama","North & Central America & Carribean","Republic",3360474
132,"Papua New Guinea","Oceania","Republic",6057263
133,"Paraguay","North & Central America & Carribean","Republic",6995655
134,"Peru","South America","Republic",29546963
135,"Philippines, The","Asia","Republic",97976603
136,"Poland","Europe","Republic",38482919
137,"Portugal","Europe","Republic",10707924
138,"Qatar","Middle East","Emirate",833285
139,"Romania","Europe","Republic",22215421
140,"Russia","Europe/Asia","Federation",140041247
141,"Rwanda","Africa","Republic",10473282
142,"Saudi Arabia","Middle East","Absolute Monarcy",28686633
143,"Senegal","Africa","Republic",13711597
144,"Serbia","Europe","Republic",10159046
145,"Seychelles","Asia","Republic",87476
146,"Sierra Leone","Africa","Republic",6440053
147,"Singapore","Asia","Republic",4657542
148,"Slovkia","Europe","Repulic",5463046
149,"Slovenia","Europe","Republic",2005692
150,"Somalia","Africa","Anarchy",9832017
151,"South Africa","Africa","Republic",49052489
152,"Spain","Europe","Constitutional Monarchy",40525002
153,"Sri Lanka","Asia","Republic",21324791
154,"Sudan","Africa","Republic",41087825
155,"Suriname","South America","Republic",481267
156,"Swaziland","Africa","Absolute Monarchy",1123913
157,"Sweden","Europe","Constitutional Monarchy",9059651
158,"Switzerland","Europe","Confederation",7604467
159,"Syria","Middle East","Republic",20178485
160,"Taiwan","Asia","Semi-autonomous",22974347
161,"Tajikistan","Asia","Republic",7349145
162,"Tanzania","Africa","Republic",41048532
163,"Thailand","Asia","Constitutional Monarchy",65905410
164,"Timor-Leste","Asia","Republic",1131612
165,"Togo","Africa","Republic",6019877
166,"Tonga","Oceania","Constitutional Monarchy",120898
167,"Trinidad and Tobago","South America","Republic",1229953
168,"Tunisia","Africa","Republic",10486339
169,"Turkey","Middle East","Republic",76805524
170,"Turkmenistan","Asia","Republic",4884887
171,"Tuvalu","Oceania","Commonwealth",12373
172,"Uganda","Africa","Republic",32369558
173,"Ukraine","Europe","Republic",45700395
174,"United Arab Emirates","Middle East","Emirate",4798491
175,"United Kingdom","Europe","Constitutional Monarchy",61113205
176,"United States of America","North & Central America & Carribean","Federal Republic",307212123
177,"Uruguay","South America","Republic",3494382
178,"Uzbekistan","Asia","Republic",27606007
179,"Vanuatu","Oceania","Republic",218519
180,"Venezuela","South America","Republic",26814843
181,"Vietnam","Asia","Communist",86967524
182,"Yemen","Middle East","Republic",23822783
183,"Zambia","Africa","Republic",11862740
184,"Zimbabwe","Africa","Republic",11392629
